,,,,,,,
Release requirements,,,,,,,
,,,,,,,
ID,Requirement,Evidence required,Owner role,Result,Evidence link,Current observation,Source
R01,Integrated sound set,Mono voice and all 16 drum sounds in one candidate; exclusivity and reset map tested.,Integration,NOT RUN,,PR #74 exists; conflicts in audio_measure.py and NUMERIC-CONTRACT.md.,https://github.com/2AMLogic/gf180-parasynth/pull/74
R02,Workflow execution,Workflow syntax valid and affected workflows actually run on candidate.,Integration,NOT RUN,,PR #73 is open; inspected diff only partially implements its description.,https://github.com/2AMLogic/gf180-parasynth/pull/73
R03,Reference qualification,"Pitch, waveform, path and parameter readback verified; accepted references cached.",References,NOT RUN,,Surge mapping is unchanged in inspected #73 head.,https://github.com/2AMLogic/gf180-parasynth/issues/61
R04,Variance and tolerances,Pilot repeats and sensitive controls qualify each active metric; thresholds frozen.,References,NOT RUN,,Existing harness provides starting measurements; this benchmark has no imported results.,https://github.com/2AMLogic/gf180-parasynth/issues/62
R05,Meaningful negative controls,"Clean passes, mutant executes, intended assertion fails; crashes remain no-verdict.",Verification,NOT RUN,,Silent-stub control is unchanged in inspected #73 head.,https://github.com/2AMLogic/gf180-parasynth/issues/52
R06,Model to I2S agreement,Current integrated model agrees sample-exactly with short SPI-to-I2S traces and final full verifiers.,Integration,NOT RUN,,Earlier main has CI evidence; integrated #74 candidate needs its own evidence.,https://github.com/2AMLogic/gf180-parasynth/pull/74
R07,Musical host timing,Host emits kick attack/tom sweeps at defined frames and preserves retrigger/choke timing.,Host,NOT RUN,,Timed coefficient writes are part of the sound; FPGA host remains a deliverable.,https://github.com/2AMLogic/gf180-parasynth/blob/50d7aafc322474de0ad18c9c0a1294f36bba0248/fpga/README.md
R08,Player behavior,"Note priority, glide, retrigger, note-off, panic and reset behave as declared.",Host,NOT RUN,,Playing behavior remains an open product task.,https://github.com/2AMLogic/gf180-parasynth/issues/49
R09,Headroom and stability,"No wraparound, unintended rail hits, runaway states or stuck tails across the stated control range.",DSP,NOT RUN,,PR #74 reports clipping on an all-eleven-hit render at default drum gain.,https://github.com/2AMLogic/gf180-parasynth/pull/74
R10,Current hardware build,"Integrated FPGA build meets the frame deadline; source, ROMs and constraints match evidence.",Integration,NOT RUN,,Existing physical reports predate the combined candidate.,https://github.com/2AMLogic/gf180-parasynth/issues/69
R11,Actual output path,"Boot, control input, I2S and DAC capture work; capture checks separate clock/gain from sound errors.",Host,NOT RUN,,A software WAV does not establish board or DAC output.,https://github.com/2AMLogic/gf180-parasynth/issues/1
R12,Player audition,"Small blind, level-matched audition plus live play; record appeal separately from similarity.",Product,NOT RUN,,Friends review the release output after automated qualification.,https://github.com/2AMLogic/gf180-parasynth/issues/1
,,,,,,,
,,,,,,,
